"","entidad","hogid","iid","year","n002","n009","enroll_child","contba","pobreden","villid","panel","r042","r044a","r044b","r045","yycali","mpcalif","mppob","sex","lang","ageHH","sexHH","edu","eduHH","schyear","m1","m2","age","paths","attrit","D","pov_HH","D_HH","uniqhh","D_assign","maxcut","z","E"
"31057",30,320852,3208524,1999,14,"","0","basal","pobre",30110009,1,"si",2,"primaria",5,495,4.38,1,"Female","Indigenous",33,1,500,0,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,759.36,-264.36,1
"31059",30,609984,6099844,1999,17,"","si","basal","pobre",30058110,1,"si",1,"secundaria",6,834.62,1.57,1,"Male","Indigenous",52,1,700,400,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,75.26,0
"31072",30,400341,4003415,1999,18,"","si","basal","pobre",30055087,1,"",NA,"",NA,822,2.92,1,"Male","Indigenous",44,1,800,100,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,759.36,62.64,0
"31101",30,118945,1189453,1999,17,"","si","basal","pobre",30024024,1,"si",6,"primaria",7,775,1.73,1,"Male","Non Indigenous",36,1,600,100,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,759.36,15.64,0
"31102",30,222077,2220775,1999,17,"","0","basal","pobre",30110009,1,"si",6,"primaria",7,451,3.96,1,"Male","Indigenous",40,1,500,200,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,759.36,-308.36,1
"31106",30,400089,4000893,1999,13,"","si","basal","no pobre",30055087,1,"si",6,"primaria",6,815,2.09,1,"Male","Non Indigenous",38,1,500,1200,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,759.36,55.64,0
"31112",30,634073,6340734,1999,16,"","0","basal","no pobre",30023011,1,"no",NA,"",NA,799.33,0.86,1,"Male","Non Indigenous",48,1,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,759.36,39.97,0
"31131",30,404127,4041275,1999,17,"","si","basal","no pobre",30055004,1,"si",2,"secundaria",6,782.6,1.85,1,"Male","Non Indigenous",53,1,700,400,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,23.24,0
"31144",30,656372,6563724,1999,15,"","0","basal","pobre",30083136,1,"si",6,"primaria",6,544,4.62,1,"Male","Indigenous",35,1,600,0,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,759.36,-215.36,1
"31152",30,643450,6434505,1999,15,"","0","basal","pobre",30024008,1,"si",2,"secundaria",6,736,3.45,1,"Male","Non Indigenous",46,1,700,200,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-23.36,1
"31168",30,230114,2301143,1999,16,"","si","basal","pobre",30014030,1,"si",3,"secundaria",6,736,3.72,1,"Male","Non Indigenous",32,1,700,200,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,759.36,-23.36,1
"31182",30,222300,2223004,1999,16,"","0","basal","pobre",30020039,1,"si",6,"primaria",6,558,4.12,1,"Male","Indigenous",40,1,500,500,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-201.36,1
"31189",30,403008,4030087,1999,15,"","si","basal","pobre",30055004,1,"si",6,"primaria",6,775,2.58,1,"Female","Non Indigenous",62,1,500,100,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,759.36,15.64,0
"31198",30,618350,6183504,1999,14,"","si","basal","pobre",30058116,1,"si",1,"secundaria",6,778,2.8,1,"Female","Indigenous",46,1,600,500,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,18.64,0
"31202",30,642480,6424807,1999,12,"","si","basal","pobre",30058110,1,"si",6,"primaria",6,735,4.31,1,"Female","Indigenous",45,1,500,600,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,0,1,759.36,-24.36,1
"31205",30,643780,6437806,1999,18,"","","basal","pobre",30079023,1,"",NA,"",NA,738,2.37,1,"Male","Non Indigenous",66,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,759.36,-21.36,1
"31210",30,320763,3207634,1999,15,"","0","basal","pobre",30110009,1,"si",NA,"primaria",98,762,4.12,1,"Female","Indigenous",39,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,759.36,2.63999999999999,0
"31229",30,157062,1570628,1999,14,"","si","basal","pobre",30083136,1,"si",5,"primaria",6,516,4.48,1,"Female","Indigenous",55,1,500,0,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,0,1,759.36,-243.36,1
"31231",30,404150,4041504,1999,13,"","si","basal","pobre",30055025,1,"si",5,"primaria",6,740.5,2.99,1,"Female","Non Indigenous",50,1,500,300,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,759.36,-18.86,1
"31239",30,657532,6575324,1999,17,"","0","basal","pobre",30083042,1,"",NA,"",NA,450,4.04,1,"Female","Indigenous",40,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,759.36,-309.36,1
"31250",30,645530,6455305,1999,17,"","0","basal","no pobre",30058086,1,"si",1,"normal básica",5,999,3.18,1,"Male","Indigenous",55,1,800,300,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,759.36,239.64,0
"31252",30,516480,5164803,1999,15,"","si","basal","pobre",30058101,1,"si",2,"secundaria",6,529,4.32,1,"Male","Indigenous",40,1,700,300,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-230.36,1
"31281",30,423229,4232296,1999,14,"","si","basal","pobre",30023158,1,"si",6,"primaria",6,898.5,1.45,1,"Female","Non Indigenous",44,1,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,759.36,139.14,0
"31285",30,618250,6182504,1999,16,"","0","basal","pobre",30058003,1,"si",2,"secundaria",6,744.5,4.51,1,"Male","Indigenous",63,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-14.86,1
"31297",30,451645,4516453,1999,12,"","0","basal","pobre",30161079,1,"si",2,"primaria",6,822.25,1.82,1,"Male","Non Indigenous",50,1,500,200,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,0,1,759.36,62.89,0
"31306",30,517800,5178004,1999,13,"","0","basal","pobre",30058055,1,"si",6,"primaria",6,740,2.65,1,"Female","Indigenous",47,1,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,759.36,-19.36,1
"31311",30,333273,3332735,1999,15,"","si","basal","pobre",30029013,1,"si",1,"secundaria",7,767,3.54,1,"Female","Non Indigenous",47,1,700,0,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,759.36,7.63999999999999,0
"31320",30,400457,4004574,1999,15,"","si","basal","pobre",30058117,1,"si",6,"primaria",6,518.5,3.84,1,"Female","Indigenous",17,1,500,500,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-240.86,1
"31324",30,609984,6099843,1999,18,"","0","basal","pobre",30058110,1,"",NA,"",NA,834.62,1.57,1,"Female","Indigenous",52,1,600,400,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,759.36,75.26,0
"31326",30,515590,5155906,1999,14,"","si","basal","pobre",30058048,1,"si",6,"primaria",6,770,2.36,1,"Male","Non Indigenous",37,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,10.64,0
"31335",30,450178,4501783,1999,14,"","si","basal","pobre",30072019,1,"si",1,"secundaria",6,747,3.78,1,"Male","Non Indigenous",31,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-12.36,1
"31341",30,332139,3321396,1999,14,"","si","basal","no pobre",30196006,1,"si",2,"secundaria",6,875.45,1.66,1,"Female","Non Indigenous",65,1,600,400,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,116.09,0
"31350",30,330825,3308258,1999,16,"","0","basal","no pobre",30200010,1,"si",6,"primaria",6,916.5,1.22,1,"Female","Non Indigenous",58,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,759.36,157.14,0
"31360",30,637853,6378535,1999,16,"","si","basal","pobre",30066016,1,"si",3,"secundaria",6,420,5.04,1,"Male","Non Indigenous",38,1,700,800,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-339.36,1
"31362",30,450201,4502013,1999,18,"","si","basal","pobre",30058053,1,"",NA,"",NA,803.75,4.46,1,"Male","Indigenous",46,1,800,300,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,759.36,44.39,0
"31371",30,515660,5156603,1999,16,"","si","basal","pobre",30058048,1,"si",1,"secundaria",6,793,3.3,1,"Female","Non Indigenous",43,1,700,300,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,0,1,759.36,33.64,0
"31377",30,514870,5148703,1999,15,"","si","basal","pobre",30058101,1,"si",6,"primaria",6,559,3.34,1,"Male","Indigenous",32,1,500,500,"5th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-200.36,1
"31418",30,423902,4239026,1999,17,"","si","basal","pobre",30023173,1,"si",1,"secundaria",7,749.92,2.28,1,"Male","Non Indigenous",43,1,600,NA,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-9.44000000000005,1
"31426",30,450187,4501873,1999,15,"","si","basal","pobre",30072019,1,"si",6,"primaria",8,463,4.37,1,"Female","Non Indigenous",27,1,600,300,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-296.36,1
"31452",30,230163,2301633,1999,12,"","si","basal","pobre",30014030,1,"si",5,"primaria",6,756,3.05,1,"Male","Non Indigenous",30,1,500,900,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,1,1,759.36,-3.36000000000001,1
"31498",30,332226,3322264,1999,15,"","0","basal","pobre",30196006,1,"si",2,"secundaria",6,754,2.21,1,"Female","Non Indigenous",30,1,800,0,"2nd Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-5.36000000000001,1
"31499",30,409780,4097806,1999,14,"","si","basal","pobre",30155137,1,"si",1,"secundaria",6,799,0.92,1,"Female","Indigenous",43,1,600,400,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,39.64,0
"31528",30,451648,4516485,1999,14,"","si","basal","no pobre",30023006,1,"si",1,"secundaria",6,897.14,1.32,1,"Female","Non Indigenous",39,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,759.36,137.78,0
"31529",30,609824,6098243,1999,17,"","si","basal","pobre",30058110,1,"si",3,"secundaria",6,931,1.97,1,"Male","Indigenous",48,0,700,200,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,171.64,0
"31542",30,630519,6305194,1999,17,"","0","basal","pobre",30023013,1,"si",5,"primaria",6,527.5,3.37,1,"Male","Non Indigenous",61,1,500,200,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-231.86,1
"31545",30,331581,3315814,1999,17,"","0","basal","pobre",30079021,1,"si",6,"primaria",6,790,2.57,1,"Male","Non Indigenous",43,1,600,800,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,30.64,0
"31566",30,511280,5112803,1999,17,"","si","basal","pobre",30058086,1,"si",3,"secundaria",6,760,2.48,1,"Female","Indigenous",43,1,800,600,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,759.36,0.639999999999986,0
"31567",30,328871,3288718,1999,13,"","0","basal","pobre",30046016,1,"si",6,"primaria",6,817,2.76,1,"Female","Non Indigenous",44,1,500,300,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,759.36,57.64,0
"31590",30,643960,6439604,1999,17,"","0","basal","pobre",30058180,1,"si",1,"secundaria",6,901,0.87,1,"Female","Indigenous",60,1,700,300,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,759.36,141.64,0
"31597",30,401837,4018373,1999,16,"","si","basal","pobre",30058117,1,"si",3,"secundaria",6,547,3.55,1,"Male","Indigenous",50,1,800,400,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-212.36,1
"31622",30,642600,6426005,1999,15,"","0","basal","no pobre",30024008,1,"no",NA,"",NA,785,3.38,1,"Female","Non Indigenous",40,0,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,759.36,25.64,0
"31628",30,514100,5141005,1999,18,"","0","basal","pobre",30058101,1,"si",3,"secundaria",6,797,2.6,1,"Female","Indigenous",57,1,800,200,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,759.36,37.64,0
"31634",30,655852,6558526,1999,18,"","","basal","pobre",30072037,1,"",NA,"",NA,690.2,2.24,1,"Male","Non Indigenous",47,1,600,200,"6th primary","using only (2)","matched (3)",18,"1 . 1",1,1,1,NA,0,1,759.36,-69.16,1
"31648",30,332225,3322253,1999,17,"","0","basal","no pobre",30196006,1,"si",4,"primaria",6,964,1.81,1,"Male","Non Indigenous",35,1,500,600,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,0,1,759.36,204.64,0
"31659",30,411099,4110995,1999,15,"","0","basal","pobre",30058115,1,"no",NA,"",NA,552,3.88,1,"Female","Indigenous",45,1,600,600,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-207.36,1
"31668",30,211239,2112394,1999,17,"","si","basal","pobre",30058086,1,"si",1,"secundaria",6,705,2.71,1,"Female","Indigenous",51,1,500,300,"5th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-54.36,1
"31670",30,112592,1125925,1999,13,"","si","basal","pobre",30110001,1,"si",4,"primaria",6,773,3.27,1,"Female","Indigenous",49,1,500,0,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,0,0,1,1,759.36,13.64,0
"31671",30,326844,3268445,1999,15,"","si","basal","pobre",30173043,1,"si",1,"secundaria",6,835,4.03,1,"Male","Non Indigenous",60,1,700,0,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,759.36,75.64,0
"31674",30,643420,6434207,1999,14,"","si","basal","no pobre",30024008,1,"si",6,"primaria",7,783,3.26,1,"Male","Non Indigenous",77,1,500,400,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,23.64,0
"31678",30,618550,6185505,1999,15,"","si","basal","pobre",30058003,1,"si",6,"primaria",6,822,1.45,1,"Male","Indigenous",45,1,500,600,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,62.64,0
"31679",30,400466,4004666,1999,13,"","si","basal","pobre",30058117,1,"si",6,"primaria",6,760,3.07,1,"Male","Indigenous",44,1,500,500,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,759.36,0.639999999999986,0
"31680",30,656032,6560325,1999,19,"","","basal","pobre",30072037,1,"",NA,"",NA,706.75,2.15,1,"Male","Non Indigenous",64,1,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,759.36,-52.61,1
"31682",30,401435,4014355,1999,14,"","si","basal","pobre",30155024,1,"si",1,"secundaria",6,845.5,3.51,1,"Female","Indigenous",59,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,0,1,759.36,86.14,0
"31683",30,649700,6497002,1999,17,"","","basal","pobre",30058115,1,"si",3,"secundaria",6,708,2.38,1,"Male","Indigenous",60,0,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-51.36,1
"31696",30,404844,4048445,1999,15,"","si","basal","no pobre",30056015,1,"si",1,"secundaria",6,890.5,1.09,1,"Male","Non Indigenous",57,1,600,200,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,1,1,759.36,131.14,0
"31710",30,113981,1139814,1999,14,"","si","basal","pobre",30020039,1,"9",NA,"",NA,707,3.1,1,"Female","Indigenous",52,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-52.36,1
"31711",30,407382,4073825,1999,17,"","si","basal","pobre",30058105,1,"si",6,"primaria",6,708,2.68,1,"Male","Indigenous",62,1,600,0,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-51.36,1
"31727",30,618150,6181503,1999,17,"","si","basal","pobre",30058003,1,"si",2,"secundaria",6,703.5,4.32,1,"Female","Indigenous",39,1,600,400,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-55.86,1
"31731",30,330965,3309653,1999,14,"","0","basal","pobre",30200032,1,"no",NA,"",NA,705,2.9,1,"Male","Non Indigenous",41,1,500,200,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-54.36,1
"31740",30,450936,4509363,1999,15,"","si","basal","pobre",30198035,1,"si",6,"primaria",6,765,3.94,1,"Male","Non Indigenous",41,1,500,0,"5th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,759.36,5.63999999999999,0
"31741",30,230164,2301643,1999,18,"","0","basal","no pobre",30014030,1,"",NA,"",NA,960,1.27,1,"Male","Non Indigenous",54,1,600,100,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,759.36,200.64,0
"31752",30,450750,4507503,1999,17,"","0","basal","pobre",30023006,1,"si",6,"primaria",6,391,5.82,1,"Female","Non Indigenous",34,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,0,1,759.36,-368.36,1
"31753",30,642040,6420404,1999,17,"","0","basal","pobre",30058110,1,"si",6,"primaria",6,417,4.98,1,"Female","Indigenous",47,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-342.36,1
"31759",30,609894,6098946,1999,17,"","si","basal","pobre",30058110,1,"si",1,"secundaria",7,760,3.13,1,"Male","Indigenous",55,1,700,300,"1st Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,0.639999999999986,0
"31769",30,618320,6183206,1999,13,"","si","basal","pobre",30058116,1,"si",4,"primaria",6,789,3.36,1,"Male","Indigenous",55,0,500,0,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,0,0,1,1,759.36,29.64,0
"31771",30,609944,6099444,1999,17,"","si","basal","pobre",30058110,1,"",NA,"",NA,705,2.94,1,"Male","Indigenous",44,1,800,600,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,759.36,-54.36,1
"31777",30,649080,6490805,1999,14,"","si","basal","pobre",30058128,1,"si",1,"secundaria",6,711,3.3,1,"Male","Indigenous",52,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-48.36,1
"31784",30,640460,6404603,1999,14,"","si","basal","pobre",30058128,1,"si",1,"secundaria",7,712,2.52,1,"Male","Indigenous",53,1,600,200,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-47.36,1
"31789",30,314022,3140224,1999,17,"","0","basal","pobre",30083042,1,"",NA,"",NA,779,3.8,1,"Male","Indigenous",45,1,800,500,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,759.36,19.64,0
"31790",30,401853,40185310,1999,13,"","si","basal","pobre",30058117,1,"si",6,"primaria",6,514,4.81,1,"Female","Indigenous",55,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-245.36,1
"31794",30,516420,5164203,1999,13,"","si","basal","pobre",30058101,1,"si",6,"primaria",6,712,2.92,1,"Female","Indigenous",40,1,500,600,"5th primary","matched (3)","matched (3)",13,"1 1 1",0,1,1,1,1,1,759.36,-47.36,1
"31795",30,409810,4098103,1999,16,"","si","basal","pobre",30155137,1,"si",2,"secundaria",6,463,4.18,1,"Female","Indigenous",42,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-296.36,1
"31798",30,642600,6426004,1999,16,"","0","basal","no pobre",30024008,1,"",NA,"",NA,785,3.38,1,"Male","Non Indigenous",40,0,600,300,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,759.36,25.64,0
"31800",30,642930,6429304,1999,16,"","0","basal","pobre",30024008,1,"no",NA,"",NA,712,3.73,1,"Male","Non Indigenous",38,1,600,300,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-47.36,1
"31801",30,637247,6372475,1999,16,"","0","basal","pobre",30066016,1,"si",6,"primaria",6,710,3.45,1,"Male","Non Indigenous",45,1,600,300,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,1,1,1,1,759.36,-49.36,1
"31820",30,332207,3322075,1999,17,"","0","basal","pobre",30196006,1,"si",6,"primaria",7,802,3.94,1,"Male","Non Indigenous",51,1,600,200,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,42.64,0
"31830",30,313905,3139053,1999,18,"","0","basal","pobre",30083003,1,"",NA,"",NA,711,2.7,1,"Female","Indigenous",46,1,800,600,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,759.36,-48.36,1
"31836",30,640310,6403103,1999,14,"","si","basal","pobre",30058128,1,"si",1,"secundaria",6,548,3.24,1,"Male","Indigenous",29,1,600,600,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-211.36,1
"31843",30,157882,1578823,1999,18,"","","basal","pobre",30072019,1,"",NA,"",NA,523,4.38,1,"Female","Non Indigenous",38,1,500,0,"5th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,1,1,759.36,-236.36,1
"31845",30,634017,6340174,1999,16,"","si","basal","pobre",30023011,1,"si",6,"primaria",6,419,3.34,1,"Female","Non Indigenous",42,1,600,200,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-340.36,1
"31846",30,644180,6441804,1999,14,"","si","basal","no pobre",30058180,1,"si",2,"secundaria",6,924,0.52,0,"Female","Non Indigenous",38,1,700,600,"1st Secondary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,164.64,0
"31851",30,657222,6572225,1999,18,"","si","basal","pobre",30083042,1,"",NA,"",NA,712,3.69,1,"Female","Non Indigenous",54,1,800,0,"2nd Secondary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,759.36,-47.36,1
"31856",30,657222,6572227,1999,15,"","si","basal","pobre",30083042,1,"si",1,"secundaria",6,712,3.69,1,"Male","Non Indigenous",54,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,759.36,-47.36,1
"31864",30,222216,2222168,1999,14,"","si","basal","pobre",30110026,1,"9",NA,"",NA,712,3.67,1,"Female","Indigenous",46,1,600,0,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,759.36,-47.36,1
"31867",30,637247,6372477,1999,12,"","si","basal","pobre",30066016,1,"si",5,"primaria",6,710,3.45,1,"Male","Non Indigenous",45,1,500,300,"5th primary","matched (3)","matched (3)",12,"1 1 1",0,1,1,1,0,1,759.36,-49.36,1
"31871",30,409775,4097757,1999,14,"","si","basal","pobre",30155137,1,"si",1,"secundaria",6,768,2.6,1,"Male","Indigenous",51,1,600,200,"6th primary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,759.36,8.63999999999999,0
"31880",30,423935,4239353,1999,15,"","si","basal","pobre",30023173,1,"si",6,"primaria",7,712,3.13,1,"Male","Non Indigenous",54,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-47.36,1
"31896",30,643400,6434005,1999,17,"","si","basal","no pobre",30024008,1,"si",3,"secundaria",6,921,0.46,0,"Male","Non Indigenous",39,1,800,600,"2nd Secondary","matched (3)","matched (3)",17,"1 1 1",0,1,0,0,1,1,759.36,161.64,0
"31904",30,451649,4516493,1999,18,"","0","basal","pobre",30023006,1,"",NA,"",NA,805,1.16,1,"Female","Non Indigenous",40,1,600,200,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,1,1,759.36,45.64,0
"31908",30,450199,4501996,1999,18,"","0","basal","pobre",30058053,1,"",NA,"",NA,543,3.58,1,"Male","Indigenous",52,1,600,100,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,1,1,0,1,759.36,-216.36,1
"31915",30,450939,4509394,1999,16,"","0","basal","pobre",30198035,1,"si",6,"primaria",6,791,2.41,1,"Male","Non Indigenous",40,1,600,0,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,0,0,1,1,759.36,31.64,0
"31916",30,112592,1125924,1999,18,"","0","basal","pobre",30110001,1,"",NA,"",NA,773,3.27,1,"Male","Indigenous",49,1,600,0,"6th primary","matched (3)","matched (3)",18,"1 1 1",0,1,0,0,0,1,759.36,13.64,0
"31918",30,328888,3288885,1999,15,"","si","basal","pobre",30046016,1,"si",3,"secundaria",6,720,2.94,1,"Male","Non Indigenous",40,1,700,200,"1st Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,0,1,759.36,-39.36,1
"31922",30,450737,4507374,1999,16,"","0","basal","pobre",30023006,1,"no",NA,"",NA,715.33,2.8,1,"Male","Non Indigenous",48,1,600,300,"6th primary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-44.03,1
"31927",30,642700,6427004,1999,17,"","0","basal","pobre",30024008,1,"no",NA,"",NA,720,2.96,1,"Male","Non Indigenous",39,1,600,400,"6th primary","matched (3)","matched (3)",17,"1 1 1",0,1,1,1,1,1,759.36,-39.36,1
"31933",30,328896,3288963,1999,16,"","si","basal","pobre",30046016,1,"si",3,"secundaria",6,718,2.78,1,"Male","Non Indigenous",38,1,800,300,"2nd Secondary","matched (3)","matched (3)",16,"1 1 1",0,1,1,1,1,1,759.36,-41.36,1
"31934",30,645530,6455306,1999,16,"","si","basal","no pobre",30058086,1,"si",3,"secundaria",5,999,3.18,1,"Male","Indigenous",55,1,700,300,"1st Secondary","matched (3)","matched (3)",15,"1 1 1",0,1,0,0,0,1,759.36,239.64,0
"31942",30,649490,6494906,1999,14,"","si","basal","pobre",30058128,1,"si",6,"primaria",7,715.25,2.75,1,"Female","Indigenous",53,1,500,100,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,1,1,759.36,-44.11,1
"31943",30,450737,4507375,1999,13,"","si","basal","pobre",30023006,1,"no",NA,"",NA,715.33,2.8,1,"Female","Non Indigenous",48,1,600,300,"6th primary","matched (3)","matched (3)",14,"1 1 1",0,1,1,1,0,1,759.36,-44.03,1
"31948",30,450198,4501983,1999,14,"","si","basal","pobre",30058053,1,"si",6,"primaria",7,773,2.48,1,"Female","Indigenous",52,1,500,300,"5th primary","matched (3)","matched (3)",14,"1 1 1",0,1,0,0,1,1,759.36,13.64,0
